City,Address,Category,BuildingType,NewAlterationAddition,Valuation,PermitHolder,Issuance,County
Anamosa,3854 BUFFALO RIDGE RD,Commercial,Commercial,New,110000,FOOD WASTE SOLUTIONS LLC,26-Feb-16,Linn
Cedar Rapids,1000 41ST AVE DR SW,Commercial,Commercial,Addition,210000,F/O TANK BUNKER DUPONT,21-Mar-16,Linn
Cedar Rapids,1000 41ST AVE DR SW,Commercial,Commercial,Addition,328150,DUPONT - TANK BUNKER ADDITION,22-Jul-16,Linn
Cedar Rapids,1000 60TH AVE SW,Commercial,Commercial,Addition,98000,PROJECT 780 ,22-Jan-16,Linn
Cedar Rapids,1001 1ST ST SW,Commercial,Commercial,New,288000,[PENFORD] FLASH DRYER INSTALLATION PROJECT,15-Jan-16,Linn
Cedar Rapids,1001 2ND ST SE,Commercial,Commercial,Alteration,6800000,FLOOD RISK CONTROL PUMP STATION,1-Jul-16,Linn
Cedar Rapids,1001 2ND ST SE,Commercial,Commercial,Alteration,512100,FLOOD RISK CONTROL PUMP STATION,13-Jul-16,Linn
Cedar Rapids,1003 3RD ST SW,Residential,Single Family,New,62960,,25-Apr-16,Linn
Cedar Rapids,101 1ST AVE SE,Commercial,Commercial,Alteration,479000,1ST & 1ST (2ND FLOOR REMODEL),26-Feb-16,Linn
Cedar Rapids,101 1ST AVE SE,Commercial,Commercial,Alteration,220000,1ST & 1ST (2ND FLOOR REMODEL),22-Apr-16,Linn
Cedar Rapids,1010 3RD ST SE,Commercial,Commercial,New,300000,THE NEW WHITE ELEPHANT BUILDING,14-Jun-16,Linn
Cedar Rapids,1016 EASTERN DR,Residential,Single Family,New,105442,STEFFEN JENNIFER A,14-Mar-16,Linn
Cedar Rapids,1026 12TH ST NE,Residential,Single Family,New,66246,MALLORY 3 BED W/ ATT GARAGE (W/ WOOD FRONT PORCH),31-Mar-16,Linn
Cedar Rapids,1026 A AVE NE,Commercial,Commercial,Alteration,310000,ST LUKES - PHARMACY,6-Jun-16,Linn
Cedar Rapids,1026 A AVE NE,Commercial,Commercial,Alteration,52000,ST LUKES - PHARMACY,15-Jun-16,Linn
Cedar Rapids,1027 CRESCENT VIEW DR NE,Residential,Single Family,New,84358,THE ARLINGTON,23-Mar-16,Linn
Cedar Rapids,1028 3RD ST SE,Commercial,Commercial,Alteration,125000,PIG & PORTER,8-Apr-16,Linn
Cedar Rapids,"1028 3RD ST SE, Suite: A",Commercial,Commercial,Alteration,116000,RAYGUN,21-Jan-16,Linn
Cedar Rapids,1030 BLAIRS FERRY RD NE,Commercial,Commercial,Alteration,120200,TARGET  ,14-Jul-16,Linn
Cedar Rapids,1033 10TH ST NW,Residential,Single Family,New,70078,,5-Feb-16,Linn
Cedar Rapids,1100 K ST SW,Residential,Single Family,New,60006,MALLORY 3 BEDROOM,13-Apr-16,Linn
Cedar Rapids,1104 K ST SW,Residential,Single Family,New,60006,MALLORY 3 BEDROOM,28-Apr-16,Linn
Cedar Rapids,1104 K ST SW,Residential,Single Family,New,60006,MALLORY 3 BEDROOM,13-Apr-16,Linn
Cedar Rapids,1106 SHAVER RD NE,Commercial,Commercial, ,169000,,28-Mar-16,Linn
Cedar Rapids,1108 K ST SW,Residential,Single Family,New,60006,MALLORY 3 BEDROOM,13-Apr-16,Linn
Cedar Rapids,1109 DEER RUN DR NE,Residential,Single Family,New,72913,,1-Feb-16,Linn
Cedar Rapids,1109 PERRY ST,Residential,Single Family,New,126280,LYN-BENHART VOSMEK ERIKKA,25-Jul-16,Linn
Cedar Rapids,1110 12TH AVE SW,Commercial,Commercial,Addition,2200000,CARGILL TVP TOWER EXTRUDER TOWER,4-Feb-16,Linn
Cedar Rapids,1113 DEER RUN DR NE,Residential,Single Family,New,76629,,1-Feb-16,Linn
Cedar Rapids,1115 BLAIRS FERRY RD NE,Commercial,Commercial,New,320000,Northtowne Market,25-Apr-16,Linn
Cedar Rapids,1117 DEER RUN DR NE,Residential,Single Family,New,71845,,21-Jan-16,Linn
Cedar Rapids,112 29TH ST NE,Commercial,Commercial,Alteration,53000,STUDIO BUILDING,30-Jun-16,Linn
Cedar Rapids,1121 BLAIRS FERRY RD NE,Commercial,Commercial,New,1120000,Northtowne Market,25-Apr-16,Linn
Cedar Rapids,1121 BLAIRS FERRY RD NE,Commercial,Commercial,Addition,100000,NORTHTOWNE MARKET - BLDG A,21-Jul-16,Linn
Cedar Rapids,1125 DEER RUN DR NE,Residential,Single Family,New,76469,,7-Jun-16,Linn
Cedar Rapids,1137 CRESCENT VIEW DR NE,Residential,Single Family,New,84134,THE ARLINGTON,26-Feb-16,Linn
Cedar Rapids,118 2ND AVE SE,Commercial,Commercial,Alteration,1600000,UNITED FIRE GROUP - 5TH FLOOR,18-Apr-16,Linn
Cedar Rapids,118 2ND AVE SE,Commercial,Commercial,Alteration,275000,UNITED FIRE GROUP - 5TH FLOOR,20-Apr-16,Linn
Cedar Rapids,1201 3RD AVE SE,Commercial,Commercial,Alteration,1000000,EASTERN IOWA HEALTH CENTER,25-Apr-16,Linn
Cedar Rapids,1201 3RD AVE SE,Commercial,Commercial,Alteration,175000,EASTERN IOWA HEALTH CENTER,26-Apr-16,Linn
Cedar Rapids,1201 MAPLEWOOD DR NE,Commercial,Commercial,Alteration,126000,GARFIELD ELEMENTARY - RESTROOM REMODEL,1-Jun-16,Linn
Cedar Rapids,1202 3RD ST SE,Commercial,Commercial,Addition,930000,THE NATIONAL,1-Mar-16,Linn
Cedar Rapids,1202 3RD ST SE,Commercial,Commercial,Alteration,130000,THE NATIONAL,21-Jul-16,Linn
Cedar Rapids,1202 3RD ST SE,Commercial,Commercial,Alteration,197500,BREWHEMIA,19-May-16,Linn
Cedar Rapids,121 7TH ST SW,Residential,Multi Family,New,259600,Shamrock Village,8-Mar-16,Linn
Cedar Rapids,1218 OAKLAND RD NE,Commercial,Commercial,Alteration,201546,,5-May-16,Linn
Cedar Rapids,1220 1ST AVE NE,Commercial,Commercial,Addition,1800000,HICKOK HALL,15-Mar-16,Linn
Cedar Rapids,1220 1ST AVE NE,Commercial,Commercial,Alteration,220000,HICKOK HALL,31-May-16,Linn
Cedar Rapids,1220 1ST AVE NE,Commercial,Commercial,Addition,3769308,EBY FIELDHOUSE RENOVATIONS & ADDITIONS,16-Jun-16,Linn
Cedar Rapids,1220 1ST AVE NE,Commercial,Commercial,Alteration,725821,EBY'S PHASE 3,22-Jul-16,Linn
Cedar Rapids,1220 1ST AVE NE,Commercial,Commercial,Addition,10974789,EBY FIELDHOUSE RENOVATIONS & ADDITIONS,22-Jul-16,Linn
